src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.5.42.68,224.0.0.251,5353,5353,2048,2022-05-18 12:26:42,5830788.0,172.53242614891846,0.6860136228585227,0.6860136228585227,0.0,4,0,1006,0,307.0,85.0,251.5,96.12881982007269,0.0,0.0,0.0,0.0,307,85,251.5,96.12881982007269,9240.75,32,0,8,4,1943596.0,3684623.0,2478.0,1509873.1197172385,5830788.0,3684623.0,2478.0,1943596.0,1509873.1197172385,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,251.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.5,0.0,0,4,0,1006,0
10.5.46.71,239.255.255.250,65421,1900,2048,2022-05-18 12:26:42,1871646.0,349.42505153218076,1.6028672088632145,1.6028672088632145,0.0,3,0,654,0,218.0,218.0,218.0,0.0,0.0,0.0,0.0,0.0,218,218,218.0,0.0,0.0,24,0,8,3,935823.0,961509.0,910137.0,25686.0,1871646.0,961509.0,910137.0,935823.0,25686.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,218.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0,3,0,654,0
10.5.44.183,224.0.0.251,5353,5353,2048,2022-05-18 12:26:42,1557184.0,182.38050223994082,1.2843697340840903,1.2843697340840903,0.0,2,0,284,0,142.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,142,142,142.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,142.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0,2,0,284,0
10.5.35.153,224.0.0.251,5353,5353,2048,2022-05-18 12:26:42,7689801.0,232.25568516012314,0.9102966383655442,0.9102966383655442,0.0,7,0,1786,0,422.0,166.0,255.14285714285714,79.07217059917672,0.0,0.0,0.0,0.0,422,166,255.14285714285714,79.07217059917672,6252.408163265306,56,0,8,7,1281633.5,3048316.0,50495.0,1116025.4027354917,7689801.0,3048316.0,50495.0,1281633.5,1116025.4027354917,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,255.14285714285714,0,0,0.0,0.0,0.0,0.0,2487755.0,560561.0,1524158.0,963597.0,0.0,0.0,0.0,0.0,0.0,0.0,255.14285714285714,0.0,0,7,0,1786,0
10.5.35.165,255.255.255.255,59727,6667,2048,2022-05-18 12:26:42,4934727.0,87.54283671619525,0.4052909107231262,0.4052909107231262,0.0,2,0,432,0,216.0,216.0,216.0,0.0,0.0,0.0,0.0,0.0,216,216,216.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,216.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0,2,0,432,0
10.5.45.110,224.0.0.251,5353,5353,2048,2022-05-18 12:26:42,2670.0,637827.7153558052,749.063670411985,749.063670411985,0.0,2,0,1703,0,1467.0,236.0,851.5,615.5,0.0,0.0,0.0,0.0,1467,236,851.5,615.5,378840.25,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,851.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851.5,0.0,0,2,0,1703,0
10.5.32.201,224.0.0.251,5353,5353,2048,2022-05-18 12:26:42,3399743.0,243.841960995287,1.4706994028666285,1.4706994028666285,0.0,5,0,829,0,230.0,114.0,165.8,40.0119982005398,0.0,0.0,0.0,0.0,230,114,165.8,40.0119982005398,1600.96,40,0,8,5,849935.75,2188452.0,296149.0,783830.3493481147,3399743.0,2188452.0,296149.0,849935.75,783830.3493481147,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,165.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,4.0,0.0,0.0,349.2141855260214,0.0,165.8,0.0,0,5,0,829,0
10.5.39.179,224.0.0.251,5353,5353,2048,2022-05-18 12:26:42,0.0,0,0,0,0,1,0,138,0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,138,138,138.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,138.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0,1,0,138,0
10.5.46.1,224.0.0.251,5353,5353,2048,2022-05-18 12:26:42,0.0,0,0,0,0,1,0,406,0,406.0,406.0,406.0,0.0,0.0,0.0,0.0,0.0,406,406,406.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,406.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,0.0,0,1,0,406,0
10.5.32.25,224.0.0.251,5353,5353,2048,2022-05-18 12:26:42,8581923.0,233.281049014306,0.5826200025332318,0.5826200025332318,0.0,5,0,2002,0,1022.0,101.0,400.4,332.7549248320752,0.0,0.0,0.0,0.0,1022,101,400.4,332.7549248320752,110725.84000000001,40,0,8,5,2145480.75,3978086.0,1202538.0,1130326.2204468618,8581923.0,3978086.0,1202538.0,2145480.75,1130326.2204468618,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,400.4,0,0,0.0,0.0,0.0,0.0,2775548.0,2183980.0,2479764.0,295784.0,0.0,0.0,0.0,0.0,0.0,0.0,400.4,0.0,0,5,0,2002,0
